Sub-Saharan Africa	SSF	GDP (current US$)	1.77506E+12
Small states	SST	GDP (current US$)	5.21843E+11
Sao Tome and Principe	STP	GDP (current US$)	348463457.9
Suriname	SUR	GDP (current US$)	5240606061
Slovak Republic	SVK	GDP (current US$)	1.00761E+11
Slovenia	SVN	GDP (current US$)	49530147016
Sweden	SWE	GDP (current US$)	5.73818E+11
Swaziland	SWZ	GDP (current US$)	4486261555
Sint Maarten (Dutch part)	SXM	GDP (current US$)	
Seychelles	SYC	GDP (current US$)	1422530792
Syrian Arab Republic	SYR	GDP (current US$)	
Turks and Caicos Islands	TCA	GDP (current US$)	
Chad	TCD	GDP (current US$)	13922223234
East Asia & Pacific (IDA & IBRD countries)	TEA	GDP (current US$)	1.27235E+13
Europe & Central Asia (IDA & IBRD countries)	TEC	GDP (current US$)	4.62395E+12
Togo	TGO	GDP (current US$)	4482880424
Thailand	THA	GDP (current US$)	4.06522E+11
Tajikistan	TJK	GDP (current US$)	9236309138
Turkmenistan	TKM	GDP (current US$)	43524210526
Latin America & the Caribbean (IDA & IBRD countries)	TLA	GDP (current US$)	6.0605E+12
Timor-Leste	TLS	GDP (current US$)	1399000000
Middle East & North Africa (IDA & IBRD countries)	TMN	GDP (current US$)	1.56643E+12
Tonga	TON	GDP (current US$)	443475142.1
South Asia (IDA & IBRD)	TSA	GDP (current US$)	2.5771E+12
Sub-Saharan Africa (IDA & IBRD countries)	TSS	GDP (current US$)	1.77506E+12
Trinidad and Tobago	TTO	GDP (current US$)	26175906133
Tunisia	TUN	GDP (current US$)	47603227897
Turkey	TUR	GDP (current US$)	9.34168E+11
Tuvalu	TUV	GDP (current US$)	37259689.92
Tanzania	TZA	GDP (current US$)	48197218327
Uganda	UGA	GDP (current US$)	27927875336
Ukraine	UKR	GDP (current US$)	1.33503E+11
Upper middle income	UMC	GDP (current US$)	2.20996E+13
Uruguay	URY	GDP (current US$)	57236013078
United States	USA	GDP (current US$)	1.73931E+13
Uzbekistan	UZB	GDP (current US$)	63067077179
St. Vincent and the Grenadines	VCT	GDP (current US$)	727912814.8
"Venezuela, RB"	VEN	GDP (current US$)	
British Virgin Islands	VGB	GDP (current US$)	
Virgin Islands (U.S.)	VIR	GDP (current US$)	3624000000
Vietnam	VNM	GDP (current US$)	1.86205E+11
Vanuatu	VUT	GDP (current US$)	814954307
World	WLD	GDP (current US$)	7.88701E+13
Samoa	WSM	GDP (current US$)	803574789.1
Kosovo	XKX	GDP (current US$)	7386891336
"Yemen, Rep."	YEM	GDP (current US$)	43228583935
South Africa	ZAF	GDP (current US$)	3.50851E+11
Zambia	ZMB	GDP (current US$)	27150630607
Zimbabwe	ZWE	GDP (current US$)	15834069900
